account,date,classification,daily_pnl,win_rate,avg_trade_size_usd,trades_per_day,long_ratio,frequency_segment,strategy_signal,pnl_bucket,sentiment_flag,behavior_cluster
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-11-14,Greed,0.0,0.0,23066.935,2,1.0,Infrequent,Reduce position size,Loss,1,2
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-10-27,Greed,36993.371011,0.46794871794871795,2583.170064102564,156,0.41025641025641024,Infrequent,No action,Neutral,1,1
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-02-19,Fear,-59349.677108,0.2636103151862464,1648.5575358166188,349,0.18911174785100288,Infrequent,No action,Loss,0,0
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-10-27,Greed,34983.381862,0.5277777777777778,4554.800138888889,144,0.4097222222222222,Infrequent,Reduce position size,Neutral,1,1
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-02-19,Fear,-20526.462526,0.3193033381712627,4800.430827285922,3445,0.4612481857764877,Frequent,Reduce trade frequency,Loss,0,0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-10-27,Greed,7612.618288,0.41361256544502617,2786.4265445026176,191,0.5863874345549738,Infrequent,No action,Loss,1,1
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2025-02-19,Fear,45883.628955,0.5602836879432624,4338.219787234042,141,0.41134751773049644,Infrequent,No action,Neutral,0,1
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2024-10-27,Greed,16102.56859,0.216,6480.62816,125,0.144,Infrequent,Reduce position size,Loss,1,0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2025-02-19,Fear,183403.024142,0.2441860465116279,4563.756162790698,258,0.32170542635658916,Infrequent,No action,Profit,0,0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-10-27,Greed,160450.518105,0.8837209302325582,6742.71976744186,43,0.0,Infrequent,Reduce position size,Profit,1,0
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-02-19,Fear,110527.905862,0.4828614008941878,2807.6623994038746,671,0.3144560357675112,Infrequent,No action,Profit,0,0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-10-27,Greed,69282.42904,0.3381837779574239,494.23683912691996,3711,0.46833737537052006,Frequent,No action,Neutral,1,0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-19,Fear,32683.214094,0.36552171095268954,541.9522812702527,4629,0.49038669259019224,Frequent,Reduce trade frequency,Neutral,0,0
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2024-10-27,Greed,61076.167808,0.4115853658536585,8444.161189024391,328,0.5579268292682927,Infrequent,Reduce position size,Neutral,1,1
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-02-19,Fear,613327.827224,0.4952706253284288,8998.349072517078,3806,0.4721492380451918,Frequent,Reduce trade frequency,Profit,0,1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-27,Greed,111230.498007,0.3282442748091603,19645.16682912507,1703,0.5637110980622431,Frequent,Reduce position size,Profit,1,2
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-02-19,Fear,223968.37089299998,0.39175809472839174,20468.303636606903,3737,0.5638212469895638,Frequent,Reduce trade frequency,Profit,0,2
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-10-27,Greed,0.0,0.0,3261.5788789237668,223,1.0,Infrequent,Reduce position size,Loss,1,1
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-02-19,Fear,403501.648209,0.4156136402977324,28304.44506318158,5777,0.4580231954301541,Frequent,Reduce trade frequency,Profit,0,2
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2024-10-27,Greed,101539.274031,1.0,525.47136,250,0.0,Infrequent,No action,Profit,1,0
